"InvDate","DrugCode","MakerID","StoreID","AreaNo","BlockNo","LotNumber","StockQty","InventoryQty","AdjQty","ShiftNo","InvTime","UserID","Remark","BlockType"
"2022-12-26","1AZD92",1,"DST01",1,1,"20261226",160.0,160.0,0.0,1,"05:37:58","Admin","","D"
"2022-12-28","1AZD92",1,"DST01",1,1,"20261226",160.0,160.0,0.0,1,"05:40:30","Admin","","D"
"2022-12-29","1ANPO",1,"DST01",1,1,"20261227",240.0,240.0,0.0,1,"05:28:48","Admin","","L"
"2022-12-29","1ANPO",1,"DST01",1,1,"20261227",240.0,230.0,-10.0,2,"05:29:00","Admin","","L"
"2022-12-29","1ANPO",1,"DST01",1,2,"20261224",110.0,110.0,0.0,1,"05:34:09","Admin","","L"
"2022-12-29","1AZD92",1,"DST01",1,1,"20261226",160.0,160.0,0.0,1,"05:24:32m,,,,,,,,23 nnn","Admin","","D"
"2022-12-29","1AZD92",1,"DST01",1,1,"20261226",160.0,150.0,-10.0,2,"08:23:08","Admin","","D"
"2022-12-29","1nnnn 4nDESUD",1,"DST01",2,1,"20221229",100.0,100.0,0.0,1,"05:33:59","Admin","","D"
"2022-12-30","1AZD92",1,"DST01",1,1,"20261226",150.0,160.0,10.0,1,"09:13:31","Admin","","D"
"2022-12-30","1AZD92",1,"DST01",1,1,"20261226",160.0,160.0,0.0,2,"13:27:40","Admin","","D"
"2022-12-30","1AZD92",1,"DST01",1,1,"20261226",160.0,150.0,-10.0,3,"14:42:11","Admin","","D"
"2022-12-30","1AZD92",1,"DST01",1,1,"20261226",150.0,200.0,50.0,4,"14:43:02","Admin","","D"
"2022-12-30","1CABO4",1,"MST01",11,1,"20261222",350.0,340.0,-10.0,1,"13:03:58","Admin","","D"
"2022-12-30","1CABO4",1,"MST01",11,1,"20261222",350.0,340.0,-10.0,2,"13:04:12","Admin","","D"
"2022-12-30","1CODEI",1,"EPA01",1,1,"20221227",200.0,200.0,0.0,1,"10:29:29","Admin","","E"
"2023-01-03","1AZD92",1,"DST01",1,1,"20261226",200.0,14.0,-186.0,1,"14:45:17","Admin","","D"
"2023-01-03","1AZD92",1,"DST01",1,1,"20261226",14.0,200.0,186.0,2,"14:45:31","Admin","","D"
"2023-01-03","1CODEI",1,"EPA01",1,1,"20221227",200.0,400.0,200.0,1,"14:45:53","Admin","","E"
"2023-01-04","1AZD92",1,"DST01",1,1,"20261226",200.0,200.0,0.0,1,"11:12:01","Admin","","D"
"2023-01-05","1ANPO",1,"DST01",1,1,"20261227",250.0,250.0,0.0,1,"13:49:53","Admin","","L"
"2023-01-05","1AZD92",1,"DST01",1,1,"20261226",200.0,210.0,10.0,1,"09:09:44","Admin","","D"
"2023-01-05","1AZD92",1,"DST01",1,1,"20261226",210.0,210.0,0.0,2,"13:49:49","Admin","","D"
"2023-01-05","1AZD92",1,"DST01",1,1,"20261226",210.0,210.0,0.0,3,"15:41:28","Admin","","D"
"2023-01-05","1AZD92",1,"DST01",1,1,"20261226",210.0,210.0,0.0,4,"15:43:04","Admin","","D"
"2023-01-11","1CODEI",1,"EPA01",1,1,"20221227",400.0,400.0,0.0,1,"08:58:52","Admin","","E"
"2023-01-13","1CABO4",1,"MST01",11,1,"20261222",340.0,360.0,20.0,1,"14:37:19","Admin","","D"
"2023-01-13","1CABO4",1,"MST01",11,1,"20261222",360.0,365.0,5.0,2,"14:37:35","Admin","","D"
"2023-01-13","1CABO6",1,"MST01",11,2,"20261221",400.0,403.0,3.0,1,"14:40:57","Admin","","D"
"2023-01-13","1CABO6",1,"MST01",11,2,"20261221",403.0,400.0,-3.0,2,"14:41:04","Admin","","D"
"2023-01-16","1CABO4",1,"MST01",11,1,"20261222",365.0,366.0,1.0,1,"08:53:33","Admin","","D"
"2023-01-16","1CABO4",1,"MST01",11,1,"20261222",365.0,366.0,1.0,2,"08:53:37","Admin","","D"
"2023-01-16","1CABO4",1,"MST01",11,1,"20261222",366.0,366.0,0.0,3,"08:53:50","Admin","","D"
"2023-01-16","1CABO4",1,"MST01",11,1,"20261222",366.0,366.0,0.0,4,"11:51:08","Admin","","D"
"2023-01-16","1CABO4",1,"MST01",11,1,"20261222",366.0,366.0,0.0,5,"13:05:10","Admin","","D"
"2023-01-16","1CABO6",1,"MST01",11,2,"20261221",400.0,400.0,0.0,1,"11:51:02","Admin","","D"
"2023-01-16","1CODEI",1,"EPA01",1,1,"20221227",400.0,400.0,0.0,1,"11:51:13","Admin","","E"
